iteration,class,top,left,bottom,right,center_x,center_y
143,mario,112.3,174.97,126.79,190.69,182.82999999999998,119.545
143,box,106.39,144.08,122.01,159.09,151.585,114.2
143,box,202.96,80.08,218.02,95.08,87.58,210.49
143,goomba,173.22,192.8,187.98,208.14,200.47,180.6
143,box,169.82,144.24,251.07,158.77,151.505,210.445
144,box,103.41,144.08,118.99,159.11,151.59500000000003,111.19999999999999
144,mario,112.23,170.02,126.74,185.81,177.91500000000002,119.485
144,box,200.17,80.07,214.94,95.09,87.58,207.555
144,box,167.2,144.23,248.03,158.81,151.51999999999998,207.615
144,goomba,169.25,192.94,184.05,208.21,200.575,176.65
145,mario,112.26,164.96,126.84,180.88,172.92000000000002,119.55000000000001
145,box,101.51,144.05,116.94,159.09,151.57,109.225
145,goomba,166.2,192.84,180.92,208.45,200.64499999999998,173.56
145,box,198.27,80.05,212.99,95.13,87.59,205.63
145,box,165.31,144.22,245.62,158.82,151.51999999999998,205.465
146,mario,112.32,160.09,126.65,175.8,167.945,119.485
146,goomba,163.2,192.86,177.86,208.46,200.66000000000003,170.53
146,box,98.4,144.04,114.03,159.08,151.56,106.215
146,box,195.1,80.05,210.09,95.12,87.58500000000001,202.595
146,box,162.97,144.19,242.53,158.83,151.51,202.75
147,mario,112.26,157.1,126.7,172.79,164.945,119.48
147,box,96.59,144.02,111.88,159.09,151.555,104.235
147,box,192.91,80.03,207.96,95.08,87.555,200.435
147,goomba,160.19,192.78,174.85,208.58,200.68,167.51999999999998
147,box,160.31,144.23,241.13,158.79,151.51,200.72
148,box,190.88,80.06,205.93,95.05,87.555,198.405
148,mario,112.2,154.19,126.76,169.81,162.0,119.48
148,goomba,157.19,192.8,171.86,208.49,200.645,164.525
148,box,94.57,144.06,109.93,159.01,151.535,102.25
148,box,158.14,144.23,238.8,158.79,151.51,198.47
149,mario,112.31,152.11,126.86,167.88,159.995,119.58500000000001
149,box,91.56,144.05,106.91,159.04,151.54500000000002,99.235
149,box,156.19,144.21,235.72,158.82,151.515,195.95499999999998
149,goomba,154.18,192.85,168.83,208.49,200.67000000000002,161.505
149,box,188.15,80.06,202.93,95.08,87.57,195.54000000000002
150,box,89.53,144.04,104.99,159.08,151.56,97.25999999999999
